status,shortlong,forceIndex,trend2min,trend5min,trend10min,trend15min,buildDate
GAIN,COMPRADO,90,-5,95,100,120,1565379240000
GAIN,COMPRADO,183,0,0,0,0,1565438940000
LOSS,COMPRADO,85,215,0,0,0,1565441040000
GAIN,VENDIDO,195,-20,190,0,0,1565443740000
GAIN,VENDIDO,160,-330,-245,0,0,1565445840000
GAIN,COMPRADO,125,295,-130,340,0,1565447940000
GAIN,VENDIDO,140,-305,215,90,0,1565451240000
GAIN,COMPRADO,130,25,-500,-15,85,1565454240000
LOSS,COMPRADO,125,0,-25,25,-205,1565456640000
GAIN,VENDIDO,135,-100,-35,-570,155,1565459340000
GAIN,COMPRADO,100,120,-125,200,-550,1565462640000
GAIN,VENDIDO,340,-980,-855,-720,-1120,1565465040000
LOSS,VENDIDO,100,-405,-1070,-1215,-890,1565467140000
GAIN,VENDIDO,533,-140,-455,-610,0,1565611440000
LOSS,VENDIDO,135,-70,30,-405,-620,1565611740000
LOSS,COMPRADO,95,-10,25,40,35,1565612340000
LOSS,COMPRADO,85,50,100,90,120,1565614080000
GAIN,VENDIDO,345,-170,-320,-365,-355,1565615640000
GAIN,VENDIDO,205,-185,-265,-170,-195,1565616840000
GAIN,COMPRADO,150,15,10,120,135,1565618340000
LOSS,VENDIDO,135,40,-95,-165,-155,1565618940000
GAIN,COMPRADO,165,90,125,175,65,1565619540000
GAIN,VENDIDO,90,-80,-115,-120,-130,1565620440000
GAIN,COMPRADO,120,15,45,45,120,1565620740000
GAIN,VENDIDO,85,25,-10,-35,-10,1565621040000
GAIN,COMPRADO,120,50,70,150,140,1565621640000
GAIN,VENDIDO,125,-75,-110,-180,-160,1565622540000
GAIN,COMPRADO,85,40,65,105,70,1565626140000
GAIN,COMPRADO,80,10,55,75,35,1565627940000
GAIN,COMPRADO,110,10,65,75,30,1565630040000
GAIN,VENDIDO,90,-15,-30,-45,-165,1565631240000
LOSS,COMPRADO,320,230,305,350,285,1565632440000
LOSS,VENDIDO,125,-60,-105,-110,-165,1565634540000
LOSS,VENDIDO,205,15,35,-195,-190,1565635440000
LOSS,COMPRADO,240,60,10,200,145,1565636640000
GAIN,VENDIDO,85,-25,-10,-70,-80,1565638140000
GAIN,VENDIDO,125,-40,-100,-145,-105,1565638440000
GAIN,VENDIDO,155,-35,-100,-175,-140,1565639340000
LOSS,COMPRADO,145,15,35,115,105,1565640540000
GAIN,VENDIDO,155,-10,-10,-25,-110,1565641140000
GAIN,COMPRADO,80,45,105,90,65,1565699040000
GAIN,VENDIDO,185,15,35,-40,-115,1565699640000
GAIN,COMPRADO,85,15,-40,150,195,1565700240000
LOSS,VENDIDO,100,5,30,-90,-110,1565700540000
GAIN,COMPRADO,125,75,105,140,125,1565700840000
GAIN,COMPRADO,185,75,110,145,125,1565701440000
GAIN,COMPRADO,115,110,75,150,85,1565702040000
LOSS,VENDIDO,170,115,-160,-245,-170,1565703240000
GAIN,COMPRADO,1545,15,90,245,1800,1565704740000
GAIN,COMPRADO,280,-90,80,235,310,1565705640000
GAIN,COMPRADO,290,225,260,345,455,1565705940000
GAIN,COMPRADO,100,50,90,160,105,1565708040000
LOSS,VENDIDO,120,-50,-105,-100,-35,1565708340000
GAIN,VENDIDO,130,-70,-205,-215,-260,1565708640000
GAIN,COMPRADO,100,-15,-15,95,180,1565709240000
GAIN,VENDIDO,160,-40,-120,-165,-130,1565709540000
GAIN,COMPRADO,130,-15,10,150,165,1565711940000
GAIN,COMPRADO,85,65,55,55,-10,1565712840000
GAIN,VENDIDO,80,-25,-20,0,-30,1565713740000
GAIN,VENDIDO,90,-35,-90,-105,-100,1565715240000
GAIN,VENDIDO,200,-70,-175,-185,-140,1565716740000
GAIN,COMPRADO,115,-5,115,90,120,1565720340000
GAIN,VENDIDO,95,-50,-70,-95,-105,1565724240000
GAIN,VENDIDO,105,-10,-25,-25,-50,1565724840000
GAIN,COMPRADO,80,0,15,35,5,1565726040000
GAIN,VENDIDO,140,-60,-160,-150,-165,1565726340000
GAIN,COMPRADO,130,50,75,120,110,1565727540000
GAIN,VENDIDO,115,-40,50,-55,-155,1565784840000
GAIN,COMPRADO,125,60,105,165,250,1565785740000
GAIN,COMPRADO,120,95,160,120,110,1565787540000
GAIN,VENDIDO,155,-15,-105,-200,-140,1565787840000
GAIN,VENDIDO,230,220,185,175,215,1565789640000
GAIN,VENDIDO,120,15,-115,-140,120,1565790240000
GAIN,VENDIDO,140,-35,-135,-270,-310,1565790540000
LOSS,COMPRADO,195,90,125,165,60,1565790840000
GAIN,VENDIDO,160,-10,-45,-80,-180,1565791440000
LOSS,VENDIDO,100,-40,-5,-20,-85,1565792040000
GAIN,COMPRADO,115,-20,65,165,100,1565792940000
GAIN,VENDIDO,155,5,-95,-155,-120,1565793540000
GAIN,VENDIDO,120,-60,-90,-145,-200,1565794440000
GAIN,VENDIDO,95,-20,5,-100,-135,1565794740000
GAIN,VENDIDO,100,-70,-160,-80,-85,1565795640000
GAIN,COMPRADO,105,-5,25,105,165,1565796240000
GAIN,VENDIDO,90,-50,20,-20,-75,1565798640000
GAIN,VENDIDO,90,-25,-55,-85,-105,1565801640000
GAIN,VENDIDO,260,5,-40,-295,-315,1565801940000
LOSS,VENDIDO,215,-145,-240,-215,-205,1565803140000
GAIN,COMPRADO,105,40,75,10,15,1565803440000
GAIN,COMPRADO,90,-25,75,150,115,1565803740000
GAIN,VENDIDO,105,-50,-80,-155,-140,1565804940000
GAIN,VENDIDO,100,-105,-95,-120,-120,1565805240000
GAIN,VENDIDO,115,-20,-10,-25,-95,1565806140000
GAIN,VENDIDO,95,10,25,-75,-45,1565807040000
GAIN,VENDIDO,100,10,50,-125,-60,1565807640000
GAIN,COMPRADO,105,-5,-25,45,30,1565809140000
LOSS,COMPRADO,115,130,80,115,140,1565809440000
GAIN,VENDIDO,90,60,-75,-85,-135,1565810640000
LOSS,COMPRADO,120,65,200,170,70,1565810940000
GAIN,COMPRADO,150,35,10,115,65,1565812140000
